Model,Precision,Recall,F1,PR-AUC,FPR,FNR
Random Forest,1.0,0.19047619047619047,0.32,1.0000000000000002,0.0,0.8095238095238048
Isolation Forest,0.0,0.0,0.0,1.0,0.0,0.9999999999999941
Hybrid,1.0,0.047619047619047616,0.09090909090909091,1.0000000000000002,0.0,0.9523809523809468
