Model,Precision,Recall,F1,PR-AUC,FPR,FNR,Experiment
Random Forest,1.0,0.1904761904761904,0.32,1.0000000000000002,0.0,0.8095238095238048,Experiment 2
Isolation Forest,0.0,0.0,0.0,1.0,0.0,0.999999999999994,Experiment 2
Hybrid,1.0,0.0476190476190476,0.0909090909090909,1.0000000000000002,0.0,0.9523809523809468,Experiment 2
Random Forest,0.33088235294117646,6.764252279553019e-05,0.00013525739482234692,0.19161647396983147,,,Experiment 3
Isolation Forest,0.056209611279856596,0.015814070246008338,0.02468362412052638,0.1821022253157969,,,Experiment 3
Hybrid,0.9904761904761905,7.81646930081682e-05,0.00015631705005677765,0.17784613413981243,,,Experiment 3
