Model,Precision,Recall,F1,PR-AUC
Random Forest,0.33088235294117646,6.764252279553019e-05,0.00013525739482234692,0.19161647396983147
Isolation Forest,0.056209611279856596,0.015814070246008338,0.02468362412052638,0.1821022253157969
Hybrid,0.9904761904761905,7.81646930081682e-05,0.00015631705005677765,0.17784613413981243
