Model,Precision_Change,Recall_Change,F1_Change,PR-AUC_Change
Random Forest,-0.6691176470588236,-0.19040854795339487,-0.31986474260517767,-0.8083835260301687
Isolation Forest,0.056209611279856596,0.015814070246008338,0.02468362412052638,-0.8178977746842031
Hybrid,-0.00952380952380949,-0.04754088292603943,-0.09075277385903412,-0.8221538658601878
